1,96.0,Random buy,2025-03-06 00:00:00.000,7
2,401.0,Random buy,2025-03-08 00:00:00.000,3
3,758.0,Random buy,2025-03-10 00:00:00.000,4
4,538.0,Random buy,2025-03-13 00:00:00.000,3
5,823.0,Random buy,2025-03-01 00:00:00.000,6
6,452.0,Random buy,2025-03-03 00:00:00.000,5
7,747.0,Random buy,2025-03-23 00:00:00.000,3
8,571.0,Random buy,2025-03-09 00:00:00.000,1
9,680.0,Random buy,2025-03-16 00:00:00.000,4
10,123.0,Random buy,2025-03-01 00:00:00.000,8
21,34.55,LIDL Grocery Purchase,2025-03-22 14:42:49.341102,1
12,34.45,Toyota Air Filter,2025-03-22 14:45:03.113838,5